farm_ext_id;unit_name;mastr_nr;capacity_mw;commissioning_date;status;turbine_model;mass_t;source
DE01;AV01;SEE982527987333;5;2010-04-08;In Betrieb;;;MaStR
DE01;AV02;SEE969857558105;5;2010-04-07;In Betrieb;;;MaStR
DE01;AV03;SEE951984161846;5;2010-03-28;In Betrieb;;;MaStR
DE01;AV04;SEE908234374938;5;2010-04-12;In Betrieb;;;MaStR
DE01;AV05;SEE909821745483;5;2010-03-01;In Betrieb;;;MaStR
DE01;AV06;SEE981139983375;5;2009-12-16;In Betrieb;;;MaStR
DE01;AV07;SEE964572095980;5;2009-08-21;In Betrieb;;;MaStR
DE01;AV08;SEE956940278347;5;2009-08-05;In Betrieb;;;MaStR
DE01;AV09;SEE998641256224;5;2009-08-01;In Betrieb;;;MaStR
DE01;AV10;SEE926100574534;5;2009-08-24;In Betrieb;;;MaStR
DE01;AV11;SEE934107523776;5;2009-08-18;In Betrieb;;;MaStR
DE01;AV12;SEE919842961458;5;2009-08-09;In Betrieb;;;MaStR
